STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
296380,99999, 20120620,   67.2, 8,   48.2, 8, 1008.7, 8,  993.2, 8,  12.4, 8,   6.8, 8,  11.7, 999.9,   76.5 ,  55.8*, 0.03E,999.9, 000000,
296380,99999, 20120621,   68.6, 8,   51.0, 8, 1013.6, 8,  998.2, 8,  11.6, 8,   6.3, 8,   9.7, 999.9,   78.1 ,  54.1 , 0.00I,999.9, 000000,
296380,99999, 20120622,   69.8, 8,   46.6, 8, 1013.5, 8,  998.0, 8,  13.6, 8,   5.6, 8,   9.7, 999.9,   79.5 ,  55.6*, 0.00I,999.9, 000000,
296380,99999, 20120623,   75.5, 8,   54.6, 8, 1010.7, 8,  995.5, 8,   8.9, 8,   4.9, 8,   7.8, 999.9,   85.6 ,  55.0 , 0.00I,999.9, 000000,
296380,99999, 20120624,   75.0, 8,   49.8, 8, 1007.0, 8,  991.8, 8,   7.5, 8,   5.3, 8,   7.8, 999.9,   84.9 ,  62.1*, 0.00I,999.9, 000000,
296380,99999, 20120625,   72.2, 8,   47.1, 8, 1005.8, 8,  990.5, 8,  16.5, 8,   4.9, 8,   7.8, 999.9,   83.3 ,  59.7 , 0.00I,999.9, 000000,
296380,99999, 20120626,   72.4, 8,   44.3, 8, 1008.4, 8,  993.0, 8,  13.7, 8,   5.3, 8,   9.7, 999.9,   82.9 ,  58.6 , 0.00I,999.9, 000000,
296380,99999, 20120627,   73.9, 8,   53.4, 8, 1008.4, 8,  993.2, 8,   6.0, 8,   5.6, 8,   7.8, 999.9,   85.1 ,  56.1 , 0.00I,999.9, 000000,
296380,99999, 20120628,   72.1, 8,   52.9, 8, 1006.8, 8,  991.6, 8,   4.0, 8,   6.1, 8,   7.8, 999.9,   83.3 ,  62.1*, 0.00I,999.9, 000000,
296380,99999, 20120629,   71.7, 8,   53.6, 8, 1005.4, 8,  990.1, 8,   4.8, 8,   3.6, 8,   5.8, 999.9,   79.9 ,  58.8 , 0.00I,999.9, 000000,
296380,99999, 20120630,   72.8, 8,   59.5, 8, 1005.4, 8,  990.2, 8,   4.2, 8,   4.4, 8,   7.8, 999.9,   81.7 ,  64.2*, 0.00I,999.9, 000010,
296380,99999, 20120701,   70.5, 8,   59.6, 8, 1003.0, 8,  987.8, 8,   4.7, 8,   4.6, 8,   5.8, 999.9,   78.8 ,  63.7 , 0.02E,999.9, 010000,
296380,99999, 20120702,   67.2, 8,   62.4, 8, 1002.2, 8,  986.9, 8,   3.7, 8,   4.9, 8,   7.8, 999.9,   74.5 ,  62.6 , 0.04E,999.9, 010000,
