STATION,NAME,DATE,"TAVG, F°","TAVG, C°"
RSM00027612,"MOSCOW, RS",2012-12-10,23,-5.00
RSM00027612,"MOSCOW, RS",2012-12-11,29,-1.67
RSM00027612,"MOSCOW, RS",2012-12-12,14,-10.00
RSM00027612,"MOSCOW, RS",2012-12-13,18,-7.78
RSM00027612,"MOSCOW, RS",2012-12-14,13,-10.56
RSM00027612,"MOSCOW, RS",2012-12-15,6,-14.44
RSM00027612,"MOSCOW, RS",2012-12-16,5,-15.00
RSM00027612,"MOSCOW, RS",2012-12-17,1,-17.22
RSM00027612,"MOSCOW, RS",2012-12-18,0,-17.78
RSM00027612,"MOSCOW, RS",2012-12-19,1,-17.22
RSM00027612,"MOSCOW, RS",2012-12-20,-1,-18.33
RSM00027612,"MOSCOW, RS",2012-12-21,-2,-18.89
RSM00027612,"MOSCOW, RS",2012-12-22,3,-16.11
RSM00027612,"MOSCOW, RS",2012-12-23,-6,-21.11
RSM00027612,"MOSCOW, RS",2012-12-24,-7,-21.67
RSM00027612,"MOSCOW, RS",2012-12-25,6,-14.44
RSM00027612,"MOSCOW, RS",2012-12-26,27,-2.78
RSM00027612,"MOSCOW, RS",2012-12-27,33,0.56
RSM00027612,"MOSCOW, RS",2012-12-28,34,1.11
RSM00027612,"MOSCOW, RS",2012-12-29,28,-2.22
RSM00027612,"MOSCOW, RS",2012-12-30,22,-5.56
RSM00027612,"MOSCOW, RS",2012-12-31,20,-6.67
RSM00027612,"MOSCOW, RS",2013-01-01,29,-1.67
RSM00027612,"MOSCOW, RS",2013-01-02,32,0.00
RSM00027612,"MOSCOW, RS",2013-01-03,29,-1.67
RSM00027612,"MOSCOW, RS",2013-01-04,32,0.00
RSM00027612,"MOSCOW, RS",2013-01-05,30,-1.11
RSM00027612,"MOSCOW, RS",2013-01-06,24,-4.44
RSM00027612,"MOSCOW, RS",2013-01-07,23,-5.00
RSM00027612,"MOSCOW, RS",2013-01-08,19,-7.22
RSM00027612,"MOSCOW, RS",2013-01-09,14,-10.00
RSM00027612,"MOSCOW, RS",2013-01-10,12,-11.11
RSM00027612,"MOSCOW, RS",2013-01-11,9,-12.78
RSM00027612,"MOSCOW, RS",2013-01-12,11,-11.67
RSM00027612,"MOSCOW, RS",2013-01-13,9,-12.78
RSM00027612,"MOSCOW, RS",2013-01-14,17,-8.33
RSM00027612,"MOSCOW, RS",2013-01-15,19,-7.22
RSM00027612,"MOSCOW, RS",2013-01-16,18,-7.78
RSM00027612,"MOSCOW, RS",2013-01-17,16,-8.89
RSM00027612,"MOSCOW, RS",2013-01-18,10,-12.22
RSM00027612,"MOSCOW, RS",2013-01-19,9,-12.78
RSM00027612,"MOSCOW, RS",2013-01-20,7,-13.89
RSM00027612,"MOSCOW, RS",2013-01-21,10,-12.22
RSM00027612,"MOSCOW, RS",2013-01-22,6,-14.44
RSM00027612,"MOSCOW, RS",2013-01-23,9,-12.78
RSM00027612,"MOSCOW, RS",2013-01-24,14,-10.00
RSM00027612,"MOSCOW, RS",2013-01-25,12,-11.11
RSM00027612,"MOSCOW, RS",2013-01-26,8,-13.33
RSM00027612,"MOSCOW, RS",2013-01-27,8,-13.33
RSM00027612,"MOSCOW, RS",2013-01-28,10,-12.22
RSM00027612,"MOSCOW, RS",2013-01-29,20,-6.67
RSM00027612,"MOSCOW, RS",2013-01-30,24,-4.44
RSM00027612,"MOSCOW, RS",2013-01-31,27,-2.78
RSM00027612,"MOSCOW, RS",2013-02-01,28,-2.22
RSM00027612,"MOSCOW, RS",2013-02-02,33,0.56
RSM00027612,"MOSCOW, RS",2013-02-03,33,0.56
RSM00027612,"MOSCOW, RS",2013-02-04,31,-0.56
RSM00027612,"MOSCOW, RS",2013-02-05,25,-3.89
RSM00027612,"MOSCOW, RS",2013-02-06,33,0.56
RSM00027612,"MOSCOW, RS",2013-02-07,32,0.00
RSM00027612,"MOSCOW, RS",2013-02-08,29,-1.67
RSM00027612,"MOSCOW, RS",2013-02-09,30,-1.11
RSM00027612,"MOSCOW, RS",2013-02-10,32,0.00
RSM00027612,"MOSCOW, RS",2013-02-11,34,1.11
RSM00027612,"MOSCOW, RS",2013-02-12,32,0.00
RSM00027612,"MOSCOW, RS",2013-02-13,29,-1.67
RSM00027612,"MOSCOW, RS",2013-02-14,24,-4.44
RSM00027612,"MOSCOW, RS",2013-02-15,21,-6.11
RSM00027612,"MOSCOW, RS",2013-02-16,16,-8.89
RSM00027612,"MOSCOW, RS",2013-02-17,19,-7.22
RSM00027612,"MOSCOW, RS",2013-02-18,18,-7.78
RSM00027612,"MOSCOW, RS",2013-02-19,17,-8.33
RSM00027612,"MOSCOW, RS",2013-02-20,16,-8.89
RSM00027612,"MOSCOW, RS",2013-02-21,13,-10.56
RSM00027612,"MOSCOW, RS",2013-02-22,13,-10.56
RSM00027612,"MOSCOW, RS",2013-02-23,18,-7.78
RSM00027612,"MOSCOW, RS",2013-02-24,23,-5.00
RSM00027612,"MOSCOW, RS",2013-02-25,28,-2.22
RSM00027612,"MOSCOW, RS",2013-02-26,29,-1.67
RSM00027612,"MOSCOW, RS",2013-02-27,32,0.00
RSM00027612,"MOSCOW, RS",2013-02-28,34,1.11
RSM00027612,"MOSCOW, RS",2013-03-01,33,0.56
RSM00027612,"MOSCOW, RS",2013-03-02,18,-7.78
RSM00027612,"MOSCOW, RS",2013-03-03,10,-12.22
RSM00027612,"MOSCOW, RS",2013-03-04,16,-8.89
RSM00027612,"MOSCOW, RS",2013-03-05,9,-12.78
RSM00027612,"MOSCOW, RS",2013-03-06,17,-8.33
RSM00027612,"MOSCOW, RS",2013-03-07,31,-0.56
RSM00027612,"MOSCOW, RS",2013-03-08,18,-7.78
RSM00027612,"MOSCOW, RS",2013-03-09,16,-8.89
RSM00027612,"MOSCOW, RS",2013-03-10,15,-9.44
RSM00027612,"MOSCOW, RS",2013-03-11,13,-10.56
RSM00027612,"MOSCOW, RS",2013-03-12,14,-10.00
RSM00027612,"MOSCOW, RS",2013-03-13,18,-7.78
