"STATION","NAME","DATE","TAVG"
"RSM00027612","MOSCOW, RS","2012-11-16","40"
"RSM00027612","MOSCOW, RS","2012-11-17","39"
"RSM00027612","MOSCOW, RS","2012-11-18","36"
"RSM00027612","MOSCOW, RS","2012-11-19","31"
"RSM00027612","MOSCOW, RS","2012-11-20","35"
"RSM00027612","MOSCOW, RS","2012-11-21","36"
"RSM00027612","MOSCOW, RS","2012-11-22","38"
"RSM00027612","MOSCOW, RS","2012-11-23","36"
"RSM00027612","MOSCOW, RS","2012-11-24","28"
"RSM00027612","MOSCOW, RS","2012-11-25","24"
"RSM00027612","MOSCOW, RS","2012-11-26","28"
"RSM00027612","MOSCOW, RS","2012-11-27","32"
"RSM00027612","MOSCOW, RS","2012-11-28","31"
"RSM00027612","MOSCOW, RS","2012-11-29","26"
"RSM00027612","MOSCOW, RS","2012-11-30","26"
"RSM00027612","MOSCOW, RS","2012-12-01","38"
"RSM00027612","MOSCOW, RS","2012-12-02","31"
"RSM00027612","MOSCOW, RS","2012-12-03","25"
"RSM00027612","MOSCOW, RS","2012-12-04","27"
"RSM00027612","MOSCOW, RS","2012-12-05","25"
"RSM00027612","MOSCOW, RS","2012-12-06","26"
"RSM00027612","MOSCOW, RS","2012-12-07","23"
"RSM00027612","MOSCOW, RS","2012-12-08","23"
"RSM00027612","MOSCOW, RS","2012-12-09","24"
"RSM00027612","MOSCOW, RS","2012-12-10","23"
"RSM00027612","MOSCOW, RS","2012-12-11","29"
"RSM00027612","MOSCOW, RS","2012-12-12","14"
"RSM00027612","MOSCOW, RS","2012-12-13","18"
"RSM00027612","MOSCOW, RS","2012-12-14","13"
"RSM00027612","MOSCOW, RS","2012-12-15","6"
"RSM00027612","MOSCOW, RS","2012-12-16","5"
"RSM00027612","MOSCOW, RS","2012-12-17","1"
"RSM00027612","MOSCOW, RS","2012-12-18","0"
"RSM00027612","MOSCOW, RS","2012-12-19","1"
"RSM00027612","MOSCOW, RS","2012-12-20","-1"
"RSM00027612","MOSCOW, RS","2012-12-21","-2"
"RSM00027612","MOSCOW, RS","2012-12-22","3"
"RSM00027612","MOSCOW, RS","2012-12-23","-6"
"RSM00027612","MOSCOW, RS","2012-12-24","-7"
"RSM00027612","MOSCOW, RS","2012-12-25","6"
"RSM00027612","MOSCOW, RS","2012-12-26","27"
"RSM00027612","MOSCOW, RS","2012-12-27","33"
"RSM00027612","MOSCOW, RS","2012-12-28","34"
"RSM00027612","MOSCOW, RS","2012-12-29","28"
"RSM00027612","MOSCOW, RS","2012-12-30","22"
"RSM00027612","MOSCOW, RS","2012-12-31","20"
"RSM00027612","MOSCOW, RS","2013-01-01","29"
"RSM00027612","MOSCOW, RS","2013-01-02","32"
"RSM00027612","MOSCOW, RS","2013-01-03","29"
"RSM00027612","MOSCOW, RS","2013-01-04","32"
"RSM00027612","MOSCOW, RS","2013-01-05","30"
"RSM00027612","MOSCOW, RS","2013-01-06","24"
"RSM00027612","MOSCOW, RS","2013-01-07","23"
"RSM00027612","MOSCOW, RS","2013-01-08","19"
"RSM00027612","MOSCOW, RS","2013-01-09","14"
"RSM00027612","MOSCOW, RS","2013-01-10","12"
"RSM00027612","MOSCOW, RS","2013-01-11","9"
"RSM00027612","MOSCOW, RS","2013-01-12","11"
"RSM00027612","MOSCOW, RS","2013-01-13","9"
"RSM00027612","MOSCOW, RS","2013-01-14","17"
"RSM00027612","MOSCOW, RS","2013-01-15","19"
"RSM00027612","MOSCOW, RS","2013-01-16","18"
"RSM00027612","MOSCOW, RS","2013-01-17","16"
"RSM00027612","MOSCOW, RS","2013-01-18","10"
"RSM00027612","MOSCOW, RS","2013-01-19","9"
"RSM00027612","MOSCOW, RS","2013-01-20","7"
"RSM00027612","MOSCOW, RS","2013-01-21","10"
"RSM00027612","MOSCOW, RS","2013-01-22","6"
"RSM00027612","MOSCOW, RS","2013-01-23","9"
"RSM00027612","MOSCOW, RS","2013-01-24","14"
"RSM00027612","MOSCOW, RS","2013-01-25","12"
"RSM00027612","MOSCOW, RS","2013-01-26","8"
"RSM00027612","MOSCOW, RS","2013-01-27","8"
"RSM00027612","MOSCOW, RS","2013-01-28","10"
"RSM00027612","MOSCOW, RS","2013-01-29","20"
"RSM00027612","MOSCOW, RS","2013-01-30","24"
"RSM00027612","MOSCOW, RS","2013-01-31","27"
"RSM00027612","MOSCOW, RS","2013-02-01","28"
"RSM00027612","MOSCOW, RS","2013-02-02","33"
"RSM00027612","MOSCOW, RS","2013-02-03","33"
"RSM00027612","MOSCOW, RS","2013-02-04","31"
"RSM00027612","MOSCOW, RS","2013-02-05","25"
"RSM00027612","MOSCOW, RS","2013-02-06","33"
"RSM00027612","MOSCOW, RS","2013-02-07","32"
"RSM00027612","MOSCOW, RS","2013-02-08","29"
"RSM00027612","MOSCOW, RS","2013-02-09","30"
"RSM00027612","MOSCOW, RS","2013-02-10","32"
"RSM00027612","MOSCOW, RS","2013-02-11","34"
"RSM00027612","MOSCOW, RS","2013-02-12","32"
"RSM00027612","MOSCOW, RS","2013-02-13","29"
"RSM00027612","MOSCOW, RS","2013-02-14","24"
"RSM00027612","MOSCOW, RS","2013-02-15","21"
"RSM00027612","MOSCOW, RS","2013-02-16","16"
"RSM00027612","MOSCOW, RS","2013-02-17","19"
"RSM00027612","MOSCOW, RS","2013-02-18","18"
"RSM00027612","MOSCOW, RS","2013-02-19","17"
"RSM00027612","MOSCOW, RS","2013-02-20","16"
"RSM00027612","MOSCOW, RS","2013-02-21","13"
"RSM00027612","MOSCOW, RS","2013-02-22","13"
"RSM00027612","MOSCOW, RS","2013-02-23","18"
"RSM00027612","MOSCOW, RS","2013-02-24","23"
"RSM00027612","MOSCOW, RS","2013-02-25","28"
"RSM00027612","MOSCOW, RS","2013-02-26","29"
"RSM00027612","MOSCOW, RS","2013-02-27","32"
"RSM00027612","MOSCOW, RS","2013-02-28","34"
"RSM00027612","MOSCOW, RS","2013-03-01","33"
"RSM00027612","MOSCOW, RS","2013-03-02","18"
"RSM00027612","MOSCOW, RS","2013-03-03","10"
"RSM00027612","MOSCOW, RS","2013-03-04","16"
"RSM00027612","MOSCOW, RS","2013-03-05","9"
"RSM00027612","MOSCOW, RS","2013-03-06","17"
"RSM00027612","MOSCOW, RS","2013-03-07","31"
"RSM00027612","MOSCOW, RS","2013-03-08","18"
"RSM00027612","MOSCOW, RS","2013-03-09","16"
"RSM00027612","MOSCOW, RS","2013-03-10","15"
"RSM00027612","MOSCOW, RS","2013-03-11","13"
"RSM00027612","MOSCOW, RS","2013-03-12","14"
"RSM00027612","MOSCOW, RS","2013-03-13","18"
"RSM00027612","MOSCOW, RS","2013-03-14","22"
"RSM00027612","MOSCOW, RS","2013-03-15","30"
"RSM00027612","MOSCOW, RS","2013-03-16","36"
"RSM00027612","MOSCOW, RS","2013-03-17","23"
"RSM00027612","MOSCOW, RS","2013-03-18","19"
"RSM00027612","MOSCOW, RS","2013-03-19","19"
"RSM00027612","MOSCOW, RS","2013-03-20","20"
"RSM00027612","MOSCOW, RS","2013-03-21","20"
"RSM00027612","MOSCOW, RS","2013-03-22","13"
"RSM00027612","MOSCOW, RS","2013-03-23","12"
"RSM00027612","MOSCOW, RS","2013-03-24","17"
"RSM00027612","MOSCOW, RS","2013-03-25","17"
